Subspecies,Color
Gardnerella_vaginalis_H.1,#F1F0F7
Gardnerella_vaginalis_H.2,#F4F3F9
Gardnerella_vaginalis_H.3,#F8F7FB
Gardnerella_vaginalis_H.4,#FBFBFD
Gemella_asaccharolytica.1,#8c8c8c
Gemella_asaccharolytica.2,#8c8c8c
Gemella_asaccharolytica.3,#8c8c8c
Gemella_asaccharolytica.4,#8c8c8c
Gemella_asaccharolytica.5,#8c8c8c
Gemella_asaccharolytica.6,#8c8c8c
Gemella_asaccharolytica.7,#8c8c8c
Gemella_asaccharolytica.8,#8c8c8c
Gemella_asaccharolytica.9,#8c8c8c
Gemella_asaccharolytica.10,#8c8c8c
Gemella_asaccharolytica.11,#8c8c8c
Gemella_haemolysans.1,#8c8c8c
Gemella_haemolysans.2,#8c8c8c
Gulosibacter,#8c8c8c
KA00274_sp001552885.1,#8c8c8c
KA00274_sp001552885.2,#8c8c8c
KA00274_sp902373515.1,#8c8c8c
KA00274_sp902373515.2,#8c8c8c
KA00274_sp902373515.3,#8c8c8c
KA00274_sp902373515.4,#8c8c8c
Lactobacillus_crispatus.1,#FF0000
Lactobacillus_crispatus.2,#FF1919
Lactobacillus_crispatus.3,#FF3333
Lactobacillus_crispatus.4,#FF4C4C
Lactobacillus_crispatus.5,#FF6666
Lactobacillus_crispatus.6,#FF7F7F
Lactobacillus_crispatus.7,#FF9999
Lactobacillus_crispatus.8,#FFB2B2
Lactobacillus_crispatus.9,#FFCCCC
Lactobacillus_crispatus.10,#FFE5E5
Lactobacillus_gasseri.1,#86BF4D
Lactobacillus_gasseri.2,#C2DFA6
Lactobacillus_iners.1,#FF8C00
Lactobacillus_iners.2,#FF9C24
Lactobacillus_iners.3,#FFAC48
Lactobacillus_iners.4,#FFBD6D
Lactobacillus_iners.5,#FFCD91
Lactobacillus_iners.6,#FFDEB6
Lactobacillus_iners.7,#FFEEDA
Lactobacillus_jensenii.1,#FAE50D
Lactobacillus_jensenii.2,#FAE82B
Lactobacillus_jensenii.3,#FBEB49
Lactobacillus_jensenii.4,#FBEE67
Lactobacillus_jensenii.5,#FCF286
Lactobacillus_jensenii.6,#FDF5A4
Lactobacillus_jensenii.7,#FDF8C2
Lactobacillus_jensenii.8,#FEFBE0
Lactobacillus_mulieris.1,#A16060
Lactobacillus_mulieris.2,#C09595
Lactobacillus_mulieris.3,#DFCACA
Lactobacillus_paragasseri.1,#0D4018
Lactobacillus_paragasseri.2,#869F8B
Lawsonella_clevelandensis,#8c8c8c
Levyella_massiliensis.1,#8c8c8c
Levyella_massiliensis.2,#8c8c8c
Limosilactobacillus,#8c8c8c
Limosilactobacillus_coleohominis.1,#8c8c8c
Limosilactobacillus_coleohominis.2,#8c8c8c
Limosilactobacillus_coleohominis.3,#8c8c8c
Limosilactobacillus_portuensis.1,#CF36B5
Limosilactobacillus_portuensis.2,#DB68C7
Limosilactobacillus_portuensis.3,#E79ADA
Limosilactobacillus_portuensis.4,#F3CCEC
Limosilactobacillus_vaginalis.1,#8c8c8c
Limosilactobacillus_vaginalis.2,#8c8c8c
Mageeibacillus_indolicus.1,#8c8c8c
Mageeibacillus_indolicus.2,#8c8c8c
Mageeibacillus_indolicus.3,#8c8c8c
Mageeibacillus_indolicus.4,#8c8c8c
Mageeibacillus_indolicus.5,#8c8c8c
Mageeibacillus_indolicus.6,#8c8c8c
Mageeibacillus_indolicus.7,#8c8c8c
Mageeibacillus_indolicus.8,#8c8c8c
Mageeibacillus_indolicus.9,#8c8c8c
Mageeibacillus_indolicus.10,#8c8c8c
Malacoplasma_girerdii,#8c8c8c
Megasphaera_hutchinsoni.1,#8c8c8c
Megasphaera_hutchinsoni.2,#8c8c8c
Megasphaera_hutchinsoni.3,#8c8c8c
Megasphaera_hutchinsoni.4,#8c8c8c
Megasphaera_lornae.1,#008B45
Megasphaera_lornae.2,#2A9E64
Megasphaera_lornae.3,#55B183
Megasphaera_lornae.4,#7FC5A2
Megasphaera_lornae.5,#AAD8C1
Megasphaera_lornae.6,#D4EBE0
Metamycoplasma_hominis.1,#8c8c8c
Metamycoplasma_hominis.2,#8c8c8c
Metamycoplasma_hominis.3,#8c8c8c
Metamycoplasma_hominis.4,#8c8c8c
Metamycoplasma_hominis.5,#8c8c8c
Metamycoplasma_hominis.6,#8c8c8c
Metamycoplasma_hominis.7,#8c8c8c
Metamycoplasma_hominis.8,#8c8c8c
Mobiluncus_curtisii.1,#8c8c8c
Mobiluncus_curtisii.2,#8c8c8c
