,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Peptostreptococcus_anaerobius.9,9,13,29200,62727,2674,4507,11152,19301,235915
Peptostreptococcus_anaerobius.10,10,12,7473,5425,2413,3165,5192,12355,16492
Peptostreptococcus_sp000758885.1,1,19,15346,19328,1522,2421,7228,16844,68236
Peptostreptococcus_sp000758885.2,2,54,13556,47034,934,2122,3596,9299,347205
Porphyromonas,1,20,51715,84286,1759,7185,16101,48331,319826
Porphyromonas_asaccharolytica.1,1,35,47262,46856,6322,15377,29205,55711,173146
Porphyromonas_asaccharolytica.2,2,29,70538,149761,2334,8813,21285,74316,790237
Porphyromonas_somerae,1,22,48587,85575,2536,4012,11401,46869,342863
Porphyromonas_sp001552775.1,1,32,34953,116742,1242,3759,5637,21936,666656
Porphyromonas_sp001552775.2,2,31,49190,74115,1684,7108,19208,49218,337199
Porphyromonas_sp001552775.3,3,17,3863,2996,995,1798,3018,4683,12489
Porphyromonas_sp001552775.4,4,16,29007,42542,1531,4042,9625,25433,138705
Porphyromonas_sp001552775.5,5,16,2079,930,966,1401,1881,2433,4432
Porphyromonas_sp001552775.6,6,13,2208,979,1061,1445,1986,2818,3945
Porphyromonas_sp001552775.7,7,10,30934,56788,1445,2683,4304,35710,184600
Porphyromonas_sp001808555.1,1,35,11118,18301,1338,3289,5952,11779,108194
Porphyromonas_sp001808555.2,2,16,2801,5128,955,1202,1345,1743,21892
Porphyromonas_sp001808555.3,3,11,8079,12723,1274,2126,3053,7527,44692
Porphyromonas_spNov1,1,25,14307,30979,1086,1775,2608,4245,114722
Porphyromonas_uenonis.1,1,110,112945,176415,3011,17752,45169,123350,1150510
Porphyromonas_uenonis.2,2,65,22330,67890,2981,5552,8216,13578,521639
Porphyromonas_uenonis.3,3,42,17734,17199,2650,4629,9593,27737,65430
Porphyromonas_uenonis.4,4,26,11982,7573,3293,6371,9103,16661,28938
Prevotella.1,1,357,32558,43146,1729,8940,18974,38850,464466
Prevotella.2,2,239,32730,30457,2792,13122,22144,41997,187461
Prevotella.3,3,82,38064,43288,1061,7697,18285,56912,197546
Prevotella_amnii.1,1,143,101209,125662,4043,26416,59368,133924,1008171
Prevotella_amnii.2,2,126,154548,284260,2788,15043,50125,189462,2274228
Prevotella_amnii.3,3,115,166140,307375,3818,30245,79001,189408,2273358
Prevotella_amnii.4,4,93,75248,136586,3056,11806,32774,71194,828719
Prevotella_amnii.5,5,51,114627,154469,4436,28063,60461,100886,662587
Prevotella_amnii.6,6,43,149207,172241,5708,37970,75299,185611,758488
Prevotella_amnii.7,7,39,83975,79638,4527,24834,54116,128886,292328
Prevotella_bivia.1,1,126,27049,43664,2811,6665,13297,27771,365235
Prevotella_bivia.2,2,90,167970,358735,3791,28148,70979,126998,2418223
Prevotella_bivia.3,3,62,64623,121896,3336,9485,20190,47440,651658
Prevotella_bivia.4,4,29,16043,15485,2539,5376,8590,18407,56430
Prevotella_bivia.5,5,29,23287,31832,3002,5133,9298,30943,140977
Prevotella_bivia.6,6,21,111521,328139,3684,7400,12339,29887,1425050
Prevotella_bivia.7,7,13,92055,132921,4376,12455,28826,56799,364871
Prevotella_colorans.1,1,40,25526,43219,2173,6060,10952,23647,201990
Prevotella_colorans.2,2,35,3300,1748,1185,2196,3017,3575,8768
Prevotella_colorans.3,3,26,7060,7212,1808,3163,5231,6209,33142
Prevotella_colorans.4,4,17,3689,1586,1124,2056,4048,4801,6534
Prevotella_colorans.5,5,10,23101,51560,1438,4110,6961,11125,169394
Prevotella_corporis,1,22,66888,99009,8384,16639,24014,74717,446609
Prevotella_disiens.1,1,81,54584,92533,7968,14780,27257,47925,695156
Prevotella_disiens.2,2,45,114100,186238,8015,18498,33950,135983,934652
Prevotella_melaninogenica,1,82,74753,128742,2756,10056,25511,79162,656212
Prevotella_sp000479005.1,1,89,13634,19372,1196,4152,6854,13529,137457
Prevotella_sp000479005.2,2,88,18508,25714,947,3452,9083,21475,144735
Prevotella_sp000479005.3,3,72,23441,55974,1297,4001,6632,14003,365310
Prevotella_sp000479005.4,4,38,25448,41622,958,4556,9096,34579,224121
Prevotella_sp000479005.5,5,27,5553,5820,1352,2186,3478,5379,26976
Prevotella_sp000758925.1,1,453,69683,127887,943,5481,21313,74240,920446
Prevotella_sp000758925.2,2,135,13174,29936,1196,3338,5491,9933,215815
Prevotella_sp001552765,1,81,17741,37927,893,1913,5366,14926,226731
Prevotella_spNov1.1,1,73,64787,93933,4221,10629,29739,62462,432743
Prevotella_spNov1.2,2,68,78041,222806,3094,12623,26140,65326,1825258
Prevotella_spNov1.3,3,42,4344,7970,877,1908,2891,3917,53438
Prevotella_spNov1.4,4,26,57775,70467,2204,13981,28235,62599,224059
Prevotella_spNov1.5,5,23,119961,158010,4804,20789,55025,147044,627439
Prevotella_spNov1.6,6,22,89507,103217,5827,32658,45535,105277,369080
Prevotella_spNov1.7,7,12,2311,1259,1134,1373,1866,2721,5219
Prevotella_spNov2,1,95,49510,56337,994,10659,31030,66996,261600
Prevotella_spNov3.1,1,239,127031,176620,4123,27961,72406,152230,1611866
Prevotella_spNov3.2,2,207,161151,282886,3194,30202,91144,166940,2642246
Prevotella_spNov3.3,3,97,8050,10510,1093,2046,3677,9054,53173
Prevotella_spNov3.4,4,59,27680,26817,3340,13232,19781,32564,151217
Prevotella_timonensis.1,1,238,45985,74062,4400,13718,24262,49883,800530
Prevotella_timonensis.2,2,86,64225,80684,4707,15813,38694,71605,410520
Prevotella_timonensis.3,3,68,132094,176424,5451,27307,74921,180975,982084
Prevotella_timonensis.4,4,67,26257,25755,4152,8939,16173,32448,129827
Prevotella_timonensis.5,5,62,225928,180078,6358,91283,180938,318022,895454
Prevotella_timonensis.6,6,25,98637,142643,4994,20373,52119,119608,668546
Prevotella_timonensis.7,7,16,106080,78649,12699,38023,75730,159135,280608
Prevotella_timonensis.8,8,14,129628,149865,10046,22896,36302,204924,482709
Prevotella_timonensis.9,9,11,620230,436560,89758,233480,802122,865745,1449305
Propionimicrobium_lymphophilum,1,40,15781,22254,1962,3568,7039,15972,109491
Pseudoglutamicibacter_albus,1,37,24473,43129,2374,4785,8506,20418,212751
Pseudoglutamicibacter_cumminsii,1,24,11895,16671,1283,2945,5597,11787,60244
S5-A14a_sp000758905,1,21,10716,19442,1129,1515,2086,15611,88958
Slackia_exigua,1,25,8486,14323,2304,3170,3922,6347,72978
Sneathia_sanguinegens.1,1,290,20767,33357,1784,4074,9217,23832,295122
Sneathia_sanguinegens.2,2,135,21178,21679,1904,5855,12882,28832,104121
Sneathia_sanguinegens.3,3,46,24012,58802,1593,4925,8811,19048,379778
Sneathia_sanguinegens.4,4,40,34589,50896,2963,9133,15861,45331,269933
Sneathia_sanguinegens.5,5,19,36694,42808,2039,6204,20205,42193,139113
Sneathia_sanguinegens.6,6,19,10762,7744,1894,3759,10030,15281,28835
Sneathia_sanguinegens.7,7,10,23697,19404,2532,6296,24317,30362,58894
Sneathia_vaginalis.1,1,359,30991,65789,1216,5299,10815,25801,678333
Sneathia_vaginalis.2,2,235,104403,185695,950,11959,42185,119850,1586192
Sneathia_vaginalis.3,3,85,3339,3359,1026,1748,2266,3487,22220
Sneathia_vaginalis.4,4,52,82969,172567,1222,3981,20388,70335,1111278
Sodaliphilus_spNov1.1,1,48,97393,183103,4010,16692,29790,67549,846779
Sodaliphilus_spNov1.2,2,27,8085,11105,2200,2621,3920,6776,49722
Sodaliphilus_spNov1.3,3,26,5600,12412,1103,1444,1757,2996,60227
Sodaliphilus_spNov1.4,4,21,5797,6913,1684,2791,3360,5203,29868
Sodaliphilus_spNov1.5,5,18,1769,666,1060,1264,1448,2132,3034
Staphylococcus_aureus,1,22,75498,289792,3021,6545,10077,22262,1372210
Staphylococcus_epidermidis.1,1,29,43051,47804,6047,13158,21224,39330,169365
Staphylococcus_epidermidis.2,2,24,10199,10395,3084,4296,5676,9908,38652
Staphylococcus_haemolyticus,1,23,19647,23630,3335,5515,8972,18413,101053
Stomatobaculum_naviforme,1,25,8821,14183,988,1411,1923,11350,63595
Stomatobaculum_sp002892395.1,1,69,34159,86817,1381,4892,11197,21067,593462
Stomatobaculum_sp002892395.2,2,59,35879,117922,1003,2060,7335,29545,893033
Stomatobaculum_sp002892395.3,3,31,2103,1564,928,1186,1552,2395,7572
Streptococcus.1,1,10,21174,37719,1242,2990,4964,17094,122910
Streptococcus.2,2,35,17636,21115,1411,6635,10555,19796,108827
Streptococcus_agalactiae.1,1,38,69428,156084,2744,7070,18970,90342,945899
Streptococcus_agalactiae.2,2,35,53169,139954,2516,6424,11574,30731,791377
Streptococcus_agalactiae.3,3,32,72360,168605,3149,5260,16872,37162,781531
Streptococcus_anginosus.1,1,12,22394,38258,2706,3703,6127,16681,131482
Streptococcus_anginosus.2,2,104,74221,269828,2203,7833,14913,40323,2031121
Streptococcus_anginosus.3,3,74,22221,40192,2458,4253,7648,16118,196370
Streptococcus_mitis.1,1,74,55189,113176,2556,5837,14366,56793,827073
Streptococcus_mitis.2,2,52,56754,110468,2513,6015,26004,57113,639744
Streptococcus_salivarius,1,23,25544,25720,3606,7128,12823,39124,83523
Sutterella_sp900762445,1,24,5747,9035,932,1657,2891,4795,38995
Sutterella_spNov1.1,1,12,2551,1599,992,1537,2143,2763,6483
Sutterella_spNov1.2,2,18,18285,23899,3611,4888,6928,22314,92371
Trichomonas_vaginalis.1,1,45,16157,14134,2341,6327,10034,22284,59413
Trichomonas_vaginalis.2,2,30,449709,618602,26244,103746,251331,565544,3255783
UBA629_sp005465875.1,1,256,964259,1498282,2650,92344,441560,1145892,14503550
UBA629_sp005465875.2,2,172,9233,39222,1210,1999,2685,4116,392334
UBA629_sp005465875.3,3,151,891110,1413841,4157,71541,359999,947498,9510199
UBA629_sp005465875.4,4,52,178481,436971,1097,2465,6678,80860,2601768
Ureaplasma_parvum.1,1,58,5085,7344,596,1344,2526,5075,36388
Ureaplasma_parvum.2,2,54,3291,2469,623,1453,2285,4220,11718
Ureaplasma_parvum.3,3,50,6215,14670,576,1054,1943,4323,83762
Ureaplasma_parvum.4,4,28,2645,1907,719,1422,1980,3135,8782
Ureaplasma_parvum.5,5,24,5495,11701,917,1141,2340,3967,58313
Ureaplasma_parvum.6,6,22,1798,783,675,1228,1803,2094,3589
Ureaplasma_parvum.7,7,21,1540,1263,639,835,1085,1282,5310
Ureaplasma_urealyticum.1,1,14,4894,3686,965,2396,4026,6115,14998
Ureaplasma_urealyticum.2,2,31,4110,4939,788,1336,2012,4658,20835
Urinicoccus_massiliensis.1,1,14,3062,3727,1056,1384,1911,3110,15665
Urinicoccus_massiliensis.2,2,32,12055,19366,1296,2355,4352,10195,90492
Varibaculum_cambriense.1,1,29,20093,27502,2641,5028,7090,23916,101092
Varibaculum_cambriense.2,2,22,25851,45249,2683,5570,7407,16414,163794
Varibaculum_massiliense,1,36,42203,160498,1052,2618,4396,11299,931259
Veillonella_montpellierensis.1,1,58,22914,45211,1845,4142,8409,24084,321964
Veillonella_montpellierensis.2,2,41,31103,54614,1921,5939,13637,29602,291000
Winkia_neuii.1,1,16,1991,809,1005,1400,1740,2344,3647
Winkia_neuii.2,2,24,11481,13694,2500,3806,6656,11654,58083
Winkia_sp002849225.1,1,32,1812,1099,909,1106,1225,2059,5859
Winkia_sp002849225.2,2,22,7324,13262,1382,2062,3579,7067,65169
