,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Atopobacter_sp003664595.2,2,22,17495,20371,2255,5566,10090,18796,79470
Atopobium_deltae.1,1,14,26368,45130,1999,3063,10568,31029,172874
Atopobium_deltae.2,2,29,9788,16563,1664,3280,5632,8838,90567
Bacteroides,1,20,72281,232575,894,2545,4905,12015,1045934
Berryella_sp001552935.1,1,649,48928,78251,1029,7889,21506,56342,866536
Berryella_sp001552935.2,2,277,42904,59912,1518,8478,21101,53166,459062
Berryella_sp900604965,1,28,11480,17743,858,1712,3249,8417,63431
Bifidobacterium_bifidum,1,40,121885,381409,1956,3520,5208,14842,1489074
Bifidobacterium_breve.1,1,32,26348,48279,2616,3600,6594,13650,215648
Bifidobacterium_breve.2,2,30,265802,733483,2337,9586,29253,111681,3587648
Bifidobacterium_breve.3,3,20,89649,230361,2080,7742,14886,37288,1003111
Brevibacterium_sp001815905.1,1,14,47805,88961,2818,3628,7149,20920,292790
Brevibacterium_sp001815905.2,2,26,2954,2982,1061,1344,1810,3089,13873
Bulleidia_spNov1.1,1,44,8083,4959,1670,4511,6938,10498,22953
Bulleidia_spNov1.2,2,38,4869,4041,1355,2415,3567,4789,19020
Bulleidia_spNov1.3,3,37,1694,953,976,1156,1430,1777,5686
Bulleidia_spNov1.4,4,34,8916,9911,1297,3614,6155,10302,48415
Bulleidia_spNov1.5,5,32,5483,3937,1684,2543,4306,6976,21606
Bulleidia_spNov1.6,6,30,2174,1082,1078,1540,1900,2396,6800
Bulleidia_spNov1.7,7,26,1633,660,913,1282,1497,1719,4301
Bulleidia_spNov1.8,8,25,1501,452,991,1169,1387,1627,2649
Bulleidia_spNov1.9,9,13,4996,5341,1296,1880,3063,3802,18893
CAJPTP01,1,22,4460,2988,1249,2480,3668,5454,11788
Campylobacter.1,1,12,18145,23720,1557,5177,8840,18144,82892
Campylobacter.2,2,33,7398,8189,1000,2072,4222,10305,32209
Campylobacter_ureolyticus,1,37,11032,16202,2033,3327,5123,8316,72677
Candida_albicans.1,1,37,2520,1350,1281,1510,1814,3087,5779
Candida_albicans.2,2,34,11766,12802,2369,3465,6936,15637,64756
Chlamydia_trachomatis,1,24,5910,6768,953,1724,2810,6047,24018
Corynebacterium.1,1,118,18230,49978,1114,2053,4951,15007,441719
Corynebacterium.2,2,102,6580,9971,1054,2054,3027,5836,60593
Corynebacterium.3,3,61,27132,42969,1268,4322,8505,28885,186238
Corynebacterium_amycolatum,1,56,21177,28737,2219,4428,8348,24329,125581
Corynebacterium_aurimucosum,1,33,25415,32136,3697,7258,12258,29516,140671
Corynebacterium_coyleae,1,29,43470,72231,6350,13701,20566,36109,375286
Corynebacterium_mucifaciens.1,1,20,9419,12494,1503,2794,5830,9955,53821
Corynebacterium_mucifaciens.2,2,20,15999,38660,1193,2253,3790,8352,170259
Corynebacterium_pyruviciproducens.1,1,11,40824,63041,3061,8700,23529,36300,222350
Corynebacterium_pyruviciproducens.2,2,20,8426,4374,3811,5679,6711,10325,17627
Corynebacterium_riegelii.1,1,13,37559,34612,4207,8145,25650,57405,116426
Corynebacterium_riegelii.2,2,39,24020,42648,2729,4126,13744,27410,260652
Corynebacterium_sp001767255.1,1,74,21587,49373,1005,3807,7580,14429,314983
Corynebacterium_sp001767255.2,2,63,4915,9870,1122,1889,2733,3720,64663
Corynebacterium_sp001767255.3,3,24,3830,3173,1241,1745,2675,4273,12609
Corynebacterium_sp001807485.1,1,21,9373,12874,1504,2298,2912,8327,49541
Corynebacterium_sp001807485.2,2,20,30615,59139,1222,2124,5439,13683,191661
Corynebacterium_sp900539985.1,1,13,45003,61595,12669,15795,17300,34860,226761
Corynebacterium_sp900539985.2,2,20,5963,3491,1990,2927,5475,7670,13904
Corynebacterium_spNov1.1,1,70,31562,76224,1608,3986,7321,19041,502852
Corynebacterium_spNov1.2,2,62,3475,4053,931,1469,1869,3496,20205
Corynebacterium_tuscaniense.1,1,27,18018,19626,3260,4937,8892,21706,71705
Corynebacterium_tuscaniense.2,2,17,29993,30524,2846,8488,15261,39278,101667
Corynebacterium_tuscaniense.3,3,14,40541,49685,2597,7901,14180,62512,161363
Cryptobacteroides_spNov1.1,1,15,24204,38699,1055,4180,5246,19298,126393
Cryptobacteroides_spNov1.2,2,232,17867,41869,1033,2615,6698,17746,509269
Cutibacterium_acnes.1,1,46,88564,144420,3815,13091,49026,101115,756397
Cutibacterium_acnes.2,2,27,14079,13005,2658,5658,8178,17427,50148
Cutibacterium_acnes.3,3,27,15519,15647,3940,6172,8952,16306,67584
Cutibacterium_acnes.4,4,13,20484,24317,2990,4416,9922,19577,67313
Dialister_micraerophilus.1,1,173,13097,14884,1757,4658,8546,15839,99681
Dialister_micraerophilus.2,2,134,6524,5345,1608,3148,4871,7387,30252
Dialister_micraerophilus.3,3,124,5201,4678,1790,2837,3777,5946,37452
Dialister_micraerophilus.4,4,50,7968,7959,2177,3467,4912,8976,42346
Dialister_micraerophilus.5,5,50,16945,18921,2643,6513,11281,17343,90942
Dialister_sp001553355.1,1,395,20236,30343,1203,6862,11542,22160,381546
Dialister_sp001553355.2,2,247,94547,141575,2193,25136,53890,103796,1355444
Dialister_sp001553355.3,3,119,14694,32716,1000,2510,7027,14097,326827
Dialister_sp001553355.4,4,107,3466,3105,924,1574,2178,3710,15967
Dialister_sp900541485.1,1,41,15152,25683,1181,3760,6403,12329,142087
Dialister_sp900541485.2,2,38,3940,4652,928,1634,2363,4434,26989
Enterococcus_faecalis.1,1,10,24500,19515,10468,14582,16788,20700,73213
Enterococcus_faecalis.2,2,31,394433,1513037,3372,6919,11619,42621,7640653
Escherichia_coli.1,1,26,164452,599001,5491,7569,36433,66441,3086430
Escherichia_coli.2,2,23,58146,94783,7807,11676,22402,55343,423805
Eubacterium_spNov1.1,1,12,1578,438,1042,1297,1463,1823,2405
Eubacterium_spNov1.2,2,40,19564,32241,1289,3273,5566,20799,172463
Ezakiella_coagulans.1,1,40,3271,4721,985,1368,1670,2523,26093
Ezakiella_coagulans.2,2,39,10801,16289,1074,3558,5801,10236,96564
