,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Gardnerella_vaginalis_F.1,1,190,185240,333996,2124,15913,53210,199389,2580179
Gardnerella_vaginalis_F.2,2,129,191420,285405,2114,19547,84775,238368,1956904
Gardnerella_vaginalis_H.1,1,179,356774,804964,7654,87391,164434,375752,9939030
Gardnerella_vaginalis_H.2,2,129,14394,18287,1723,5371,9705,17834,172022
Gardnerella_vaginalis_H.3,3,125,87543,151591,3350,22684,40673,82773,1305952
Gardnerella_vaginalis_H.4,4,33,158761,328408,7551,23502,50422,95223,1707524
Gemella_asaccharolytica.1,1,78,9796,11027,1962,3427,5080,11705,62857
Gemella_asaccharolytica.2,2,55,12926,22674,2486,3724,6421,12550,155498
Gemella_asaccharolytica.3,3,43,11058,15992,1936,3750,5447,8641,72278
Gemella_asaccharolytica.4,4,30,16349,20757,2303,4094,6635,14162,68118
Gemella_asaccharolytica.5,5,25,9127,14337,2665,3545,4945,7401,67644
Gemella_asaccharolytica.6,6,24,9193,7355,2163,4130,6983,9761,30376
Gemella_asaccharolytica.7,7,16,11336,8119,2497,3940,11037,15972,33487
Gemella_asaccharolytica.8,8,14,18445,20279,2902,5263,10459,25668,71518
Gemella_asaccharolytica.9,9,12,13216,9158,3931,7803,9002,17116,33563
Gemella_asaccharolytica.10,10,11,16929,13254,2428,6261,13714,22155,42574
Gemella_asaccharolytica.11,11,11,7290,7200,2599,4188,5107,6360,28307
Gemella_haemolysans.1,1,18,12369,11239,1938,5849,9965,15807,50737
Gemella_haemolysans.2,2,21,15824,19904,2011,3643,6858,23722,85683
Gulosibacter,1,1133,171,2179,0,0,2,11,65673
KA00274_sp001552885.1,1,20,19162,30661,2306,4759,11539,17412,141032
KA00274_sp001552885.2,2,29,19864,44167,1812,2827,6263,15489,236207
KA00274_sp902373515.1,1,287,42814,81757,1644,7092,16677,40305,582456
KA00274_sp902373515.2,2,264,112491,165700,3205,25283,53251,114224,1050196
KA00274_sp902373515.3,3,106,20801,31209,1326,3375,8530,18329,144924
KA00274_sp902373515.4,4,89,88288,126705,2141,15294,35598,120334,860615
Lactobacillus_crispatus.1,1,195,845432,1480378,2834,19690,152672,991613,8893427
Lactobacillus_crispatus.2,2,132,1115895,1464683,3677,146756,411736,1497679,6146296
Lactobacillus_crispatus.3,3,117,2066202,1738479,42444,687239,1648502,3100829,7517931
Lactobacillus_crispatus.4,4,73,956510,1316853,3844,70793,458382,1218912,5973697
Lactobacillus_crispatus.5,5,67,892076,1472324,3628,16308,223649,1228142,7953813
Lactobacillus_crispatus.6,6,66,1972073,1829505,18892,730657,1445434,2842069,11557405
Lactobacillus_crispatus.7,7,54,723153,1180618,6234,23428,124369,974758,4804968
Lactobacillus_crispatus.8,8,49,1939472,1594674,78801,599505,1418055,2506413,6285114
Lactobacillus_crispatus.9,9,45,13015,21927,2325,2922,5589,9805,130395
Lactobacillus_crispatus.10,10,29,491125,740349,3078,19437,110454,390799,2401233
Lactobacillus_gasseri.1,1,177,122330,327869,2382,7452,19508,59335,2438581
Lactobacillus_gasseri.2,2,69,332452,658863,1928,16245,91939,389249,4292734
Lactobacillus_iners.1,1,390,146423,242792,1707,21654,64733,158219,2160946
Lactobacillus_iners.2,2,371,359310,493542,3312,57244,157521,440072,3249163
Lactobacillus_iners.3,3,336,16100,30286,1082,3831,8573,18696,414683
Lactobacillus_iners.4,4,315,343014,571093,6277,80896,153067,380689,5212963
Lactobacillus_iners.5,5,187,679417,940023,9701,168400,405311,825513,8406899
Lactobacillus_iners.6,6,178,492002,577454,5044,121456,313576,628082,3973916
Lactobacillus_iners.7,7,42,932779,1711695,30325,213099,397071,907850,10162470
Lactobacillus_jensenii.1,1,102,100198,188405,1871,11631,29848,110016,1327406
Lactobacillus_jensenii.2,2,83,241583,826964,3185,17404,45141,159623,7245237
Lactobacillus_jensenii.3,3,59,252031,592425,1534,5372,30137,302238,4094342
Lactobacillus_jensenii.4,4,50,317435,616199,5731,27633,43317,171608,2648848
Lactobacillus_jensenii.5,5,34,364740,913259,2198,18929,47640,171911,3839204
Lactobacillus_jensenii.6,6,27,67607,99481,1975,11593,26542,91651,382033
Lactobacillus_jensenii.7,7,19,351615,871168,4836,11833,82382,247237,3849494
Lactobacillus_jensenii.8,8,14,93224,110320,2831,6149,49182,150076,311041
Lactobacillus_mulieris.1,1,136,176020,508753,1902,7068,23302,141976,4549462
Lactobacillus_mulieris.2,2,43,20133,26784,2095,5002,8997,24795,139815
Lactobacillus_mulieris.3,3,36,163533,362843,2330,18174,45781,180328,2110601
Lactobacillus_paragasseri.1,1,20,477890,806047,10539,40549,166121,472193,3474845
Lactobacillus_paragasseri.2,2,23,272680,368399,6706,35271,122712,460283,1647217
Lawsonella_clevelandensis,1,36,16300,36766,1494,2597,5074,10809,176474
Levyella_massiliensis.1,1,13,15366,13972,2313,4609,8251,26488,43450
Levyella_massiliensis.2,2,19,7765,5544,2482,2880,5839,11555,19524
Limosilactobacillus,1,1866,402,2330,0,2,14,167,60290
Limosilactobacillus_coleohominis.1,1,109,21114,37703,2038,5558,9747,18738,293954
Limosilactobacillus_coleohominis.2,2,28,11663,12694,1857,4508,6143,13772,62246
Limosilactobacillus_coleohominis.3,3,20,13272,15692,2424,4184,8149,12916,57578
Limosilactobacillus_portuensis.1,1,107,66035,120333,5155,17492,30033,72989,870023
Limosilactobacillus_portuensis.2,2,99,33601,35329,3941,10245,22262,40154,184923
Limosilactobacillus_portuensis.3,3,35,22612,45675,4565,7713,13187,18954,278769
Limosilactobacillus_portuensis.4,4,19,15563,8847,3927,9117,15234,19743,35873
Limosilactobacillus_vaginalis.1,1,20,37522,39681,7597,14354,26633,45934,181675
Limosilactobacillus_vaginalis.2,2,43,60069,209986,2695,8863,15092,26548,1388119
Mageeibacillus_indolicus.1,1,98,13829,23943,2152,5010,8917,13257,216491
Mageeibacillus_indolicus.2,2,67,24703,15695,7091,13653,19920,30226,89139
Mageeibacillus_indolicus.3,3,43,29085,40441,4127,8880,18863,27417,243325
Mageeibacillus_indolicus.4,4,38,139815,191922,5133,40421,95523,151265,1109715
Mageeibacillus_indolicus.5,5,33,48326,73918,2085,7380,11938,35644,254425
Mageeibacillus_indolicus.6,6,32,7560,5970,2199,3448,4707,9435,23657
Mageeibacillus_indolicus.7,7,20,35298,90623,4367,7136,11957,21131,417164
