Subspecies,Color
KA00274_sp902373515.2,#8c8c8c
KA00274_sp902373515.3,#8c8c8c
KA00274_sp902373515.4,#8c8c8c
KA00274_sp902373515.5,#8c8c8c
Lactobacillus_crispatus.1,#FF0000
Lactobacillus_crispatus.2,#FF1919
Lactobacillus_crispatus.3,#FF3333
Lactobacillus_crispatus.4,#FF4C4C
Lactobacillus_crispatus.5,#FF6666
Lactobacillus_crispatus.6,#FF7F7F
Lactobacillus_crispatus.7,#FF9999
Lactobacillus_crispatus.8,#FFB2B2
Lactobacillus_crispatus.9,#FFCCCC
Lactobacillus_crispatus.10,#FFE5E5
Lactobacillus_gasseri.1,#86BF4D
Lactobacillus_gasseri.2,#C2DFA6
Lactobacillus_iners.1,#FF8C00
Lactobacillus_iners.2,#FF9A1F
Lactobacillus_iners.3,#FFA83F
Lactobacillus_iners.4,#FFB75F
Lactobacillus_iners.5,#FFC57F
Lactobacillus_iners.6,#FFD39F
Lactobacillus_iners.7,#FFE2BF
Lactobacillus_iners.8,#FFF0DF
Lactobacillus_jensenii.1,#FAE50D
Lactobacillus_jensenii.2,#FAE82B
Lactobacillus_jensenii.3,#FBEB49
Lactobacillus_jensenii.4,#FBEE67
Lactobacillus_jensenii.5,#FCF286
Lactobacillus_jensenii.6,#FDF5A4
Lactobacillus_jensenii.7,#FDF8C2
Lactobacillus_jensenii.8,#FEFBE0
Lactobacillus_mulieris.1,#A16060
Lactobacillus_mulieris.2,#C09595
Lactobacillus_mulieris.3,#DFCACA
Lactobacillus_paragasseri.1,#0D4018
Lactobacillus_paragasseri.2,#5D7F65
Lactobacillus_paragasseri.3,#AEBFB2
Lawsonella_clevelandensis,#8c8c8c
Levyella_massiliensis.1,#8c8c8c
Levyella_massiliensis.2,#8c8c8c
Limosilactobacillus,#8c8c8c
Limosilactobacillus_coleohominis.1,#8c8c8c
Limosilactobacillus_coleohominis.2,#8c8c8c
Limosilactobacillus_coleohominis.3,#8c8c8c
Limosilactobacillus_fermentum,#8c8c8c
Limosilactobacillus_portuensis.1,#CF36B5
Limosilactobacillus_portuensis.2,#D54FBE
Limosilactobacillus_portuensis.3,#DB68C7
Limosilactobacillus_portuensis.4,#E181D0
Limosilactobacillus_portuensis.5,#E79ADA
Limosilactobacillus_portuensis.6,#EDB3E3
Limosilactobacillus_portuensis.7,#F3CCEC
Limosilactobacillus_portuensis.8,#F9E5F5
Limosilactobacillus_urinaemulieris.1,#8c8c8c
Limosilactobacillus_urinaemulieris.2,#8c8c8c
Limosilactobacillus_vaginalis.1,#8c8c8c
Limosilactobacillus_vaginalis.2,#8c8c8c
Mageeibacillus_indolicus.1,#8c8c8c
Mageeibacillus_indolicus.2,#8c8c8c
Mageeibacillus_indolicus.3,#8c8c8c
Mageeibacillus_indolicus.4,#8c8c8c
Mageeibacillus_indolicus.5,#8c8c8c
Mageeibacillus_indolicus.6,#8c8c8c
Mageeibacillus_indolicus.7,#8c8c8c
Mageeibacillus_indolicus.8,#8c8c8c
Mageeibacillus_indolicus.9,#8c8c8c
Mageeibacillus_indolicus.10,#8c8c8c
Malacoplasma_girerdii.1,#8c8c8c
Malacoplasma_girerdii.2,#8c8c8c
Megasphaera_hutchinsoni.1,#8c8c8c
Megasphaera_hutchinsoni.2,#8c8c8c
Megasphaera_hutchinsoni.3,#8c8c8c
Megasphaera_hutchinsoni.4,#8c8c8c
Megasphaera_lornae.1,#008B45
Megasphaera_lornae.2,#33A26A
Megasphaera_lornae.3,#66B98F
Megasphaera_lornae.4,#99D0B4
Megasphaera_lornae.5,#CCE7D9
Metamycoplasma_hominis.1,#8c8c8c
Metamycoplasma_hominis.2,#8c8c8c
Metamycoplasma_hominis.3,#8c8c8c
Metamycoplasma_hominis.4,#8c8c8c
Mobiluncus_curtisii.1,#8c8c8c
Mobiluncus_curtisii.2,#8c8c8c
Mobiluncus_curtisii.3,#8c8c8c
Mobiluncus_curtisii.4,#8c8c8c
Mobiluncus_mulieris.1,#F08080
Mobiluncus_mulieris.2,#F29292
Mobiluncus_mulieris.3,#F4A4A4
Mobiluncus_mulieris.4,#F6B6B6
Mobiluncus_mulieris.5,#F8C8C8
Mobiluncus_mulieris.6,#FADADA
Mobiluncus_mulieris.7,#FCECEC
MultiGenera,#8c8c8c
Nakaseomyces_glabratus,#8c8c8c
Nanoperiomorbus_sp004136275.1,#613B1A
Nanoperiomorbus_sp004136275.2,#957C66
Nanoperiomorbus_sp004136275.3,#CABDB2
Olegusella_massiliensis,#8c8c8c
Oligella_urethralis,#8c8c8c
Parvimonas_sp001552895.1,#8c8c8c
Parvimonas_sp001552895.2,#8c8c8c
Parvimonas_sp001552895.3,#8c8c8c
Parvimonas_sp001552895.4,#8c8c8c
Parvimonas_sp001552895.5,#8c8c8c
Parvimonas_sp001552895.6,#8c8c8c
Parvimonas_sp001552895.7,#8c8c8c
Parvimonas_sp001552895.8,#8c8c8c
Parvimonas_sp001552895.9,#8c8c8c
Parvimonas_sp001552895.10,#8c8c8c
Pauljensenia_turicensis.1,#8c8c8c
Pauljensenia_turicensis.2,#8c8c8c
Peptococcus_niger.1,#8c8c8c
Peptococcus_niger.2,#8c8c8c
Peptoniphilus_coxii.1,#8c8c8c
Peptoniphilus_coxii.2,#8c8c8c
Peptoniphilus_duerdenii,#8c8c8c
Peptoniphilus_harei.1,#8c8c8c
Peptoniphilus_harei.2,#8c8c8c
Peptoniphilus_harei.3,#8c8c8c
Peptoniphilus_lacrimalis.1,#8c8c8c
Peptoniphilus_lacrimalis.2,#8c8c8c
Peptoniphilus_sp000478985.1,#8c8c8c
Peptoniphilus_sp000478985.2,#8c8c8c
Peptoniphilus_sp902363535.1,#8c8c8c
Peptoniphilus_sp902363535.2,#8c8c8c
Peptoniphilus_vaginalis.1,#8c8c8c
Peptoniphilus_vaginalis.2,#8c8c8c
Peptoniphilus_vaginalis.3,#8c8c8c
Peptoniphilus_vaginalis.4,#8c8c8c
Peptoniphilus_vaginalis.5,#8c8c8c
Peptoniphilus_vaginalis.6,#8c8c8c
Peptoniphilus_vaginalis.7,#8c8c8c
Peptoniphilus_vaginalis.8,#8c8c8c
Peptoniphilus_vaginalis.9,#8c8c8c
Peptostreptococcus_anaerobius.1,#8c8c8c
Peptostreptococcus_anaerobius.2,#8c8c8c
Peptostreptococcus_anaerobius.3,#8c8c8c
Peptostreptococcus_anaerobius.4,#8c8c8c
Peptostreptococcus_anaerobius.5,#8c8c8c
Peptostreptococcus_anaerobius.6,#8c8c8c
Peptostreptococcus_anaerobius.7,#8c8c8c
Peptostreptococcus_anaerobius.8,#8c8c8c
Peptostreptococcus_anaerobius.9,#8c8c8c
Peptostreptococcus_anaerobius.10,#8c8c8c
Peptostreptococcus_sp000758885.1,#8c8c8c
Peptostreptococcus_sp000758885.2,#8c8c8c
Porphyromonas,#8c8c8c
