dtc,meanRelabund,domTaxa,minClusterSize,deepSplit,mgCST,color_mgCST
2,0.5600729067841665,Lactobacillus_crispatus_7,11,0,6,#FF9999
15,0.8615226336749823,Lactobacillus_crispatus_8,11,0,7,#FFB2B2
10,0.5483186717779636,Lactobacillus_iners_1,11,0,8,#FF8C00
4,0.6235306948486403,Lactobacillus_iners_2,11,0,9,#FF9C24
5,0.6425756127054733,Lactobacillus_iners_4,11,0,10,#FFBD6D
12,0.6485966884851313,Lactobacillus_iners_5,11,0,11,#FFCD91
8,0.6829658559505328,Lactobacillus_iners_6,11,0,12,#FFDEB6
6,0.3940245173025669,UBA629_sp005465875_1,11,0,13,#448A73
3,0.3152232455763519,Gardnerella_vaginalis_2,11,0,14,#C7C5E0
1,0.2422917250729616,MultiGenera,11,0,15,#8c8c8c
9,0.8405851111556855,Lactobacillus_crispatus_1,11,1,1,#FF0000
11,0.8117584386405232,Lactobacillus_crispatus_2,11,1,2,#FF1919
7,0.8643502635506987,Lactobacillus_crispatus_3,11,1,3,#FF3333
14,0.8175721451739782,Lactobacillus_crispatus_4,11,1,4,#FF4C4C
17,0.8320116122909413,Lactobacillus_crispatus_5,11,1,5,#FF6666
13,0.8724524352608115,Lactobacillus_crispatus_6,11,1,6,#FF7F7F
16,0.7762565985533046,Lactobacillus_crispatus_7,11,1,7,#FF9999
15,0.8615226336749823,Lactobacillus_crispatus_8,11,1,8,#FFB2B2
10,0.5483186717779636,Lactobacillus_iners_1,11,1,9,#FF8C00
4,0.6235306948486403,Lactobacillus_iners_2,11,1,10,#FF9C24
5,0.6425756127054733,Lactobacillus_iners_4,11,1,11,#FFBD6D
12,0.6485966884851313,Lactobacillus_iners_5,11,1,12,#FFCD91
8,0.6829658559505328,Lactobacillus_iners_6,11,1,13,#FFDEB6
2,0.510350087242883,Lactobacillus_iners_7,11,1,14,#FFEEDA
6,0.3940245173025669,UBA629_sp005465875_1,11,1,15,#448A73
3,0.3152232455763519,Gardnerella_vaginalis_2,11,1,16,#C7C5E0
1,0.2422917250729616,MultiGenera,11,1,17,#8c8c8c
9,0.8405851111556855,Lactobacillus_crispatus_1,11,2,1,#FF0000
11,0.8117584386405232,Lactobacillus_crispatus_2,11,2,2,#FF1919
7,0.8643502635506987,Lactobacillus_crispatus_3,11,2,3,#FF3333
16,0.8175721451739782,Lactobacillus_crispatus_4,11,2,4,#FF4C4C
19,0.8320116122909413,Lactobacillus_crispatus_5,11,2,5,#FF6666
14,0.8724524352608115,Lactobacillus_crispatus_6,11,2,6,#FF7F7F
18,0.7762565985533046,Lactobacillus_crispatus_7,11,2,7,#FF9999
17,0.8615226336749823,Lactobacillus_crispatus_8,11,2,8,#FFB2B2
10,0.5483186717779636,Lactobacillus_iners_1,11,2,9,#FF8C00
3,0.6235306948486403,Lactobacillus_iners_2,11,2,10,#FF9C24
